UDI,Product ID,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Target,Failure Type
54,M54,M,301.7422494068634,305.1515194794541,1407.4575373940413,18.100782950214466,38,0.0,No Failure
55,M55,H,299.3479529356643,311.7680907927221,1525.5383755674318,51.94592220513731,28,0.0,No Failure
56,M56,H,302.4024278443279,311.47368779418485,1410.4653677636975,49.58385819842042,53,0.0,No Failure
57,M57,L,299.1838492539569,309.4373448857636,1459.189916083978,40.5166097685108,89,1.0,Overstrain Failure
58,M58,H,295.9237509296443,310.13398143444977,1400.418460520977,42.29074688205703,84,0.0,No Failure
59,M59,H,297.9838273781652,311.0318784354082,1565.1136241823656,50.74318012715561,16,1.0,Overstrain Failure
60,M60,M,296.25841615794826,306.8749082862269,1585.8451116656665,42.24339656778083,79,0.0,No Failure
61,M61,L,299.2969730319174,308.9418946453074,1476.5379430042585,49.040175547613146,187,1.0,Power Failure
62,M62,M,300.0368367583791,311.58852935924364,1503.8237994960027,37.0251779912615,158,1.0,Heat Dissipation Failure
63,M63,M,303.35287462455057,307.4914211536615,1355.1408585366455,53.119837385739466,242,0.0,No Failure
64,M64,M,300.6538547475283,310.58711586433327,1470.0323351993213,43.207857259326836,72,0.0,No Failure
65,M65,M,299.56179894238227,307.2868363907532,1494.9795382958255,41.94051943605874,222,1.0,Tool Wear Failure
66,M66,M,301.658811162367,310.9328599648671,1762.0793091029975,27.29938911287968,205,0.0,No Failure
67,M67,M,295.5777293819842,309.92871703540504,1388.8032974225837,42.869558543017085,48,1.0,Random Failure
68,M68,M,300.47122911621716,306.769736368189,1646.4177238752438,31.680450825055487,100,0.0,No Failure
69,M69,L,301.54173038777395,312.32947870891434,1599.6858773465808,33.617172734715055,1,0.0,No Failure
70,M70,H,297.0428275084403,308.5308168464039,1528.0636404490137,31.84624371683879,243,0.0,No Failure
71,M71,M,302.2875080864139,308.37949512597123,1675.8620484195133,29.33765068100775,175,1.0,Random Failure
72,M72,M,300.6769928149888,310.4011383944619,1537.2105472606863,61.24771403016962,237,0.0,No Failure
73,M73,M,299.1694241721984,312.29727469885745,1538.9159195667928,53.31339061988403,141,1.0,Tool Wear Failure
74,M74,M,301.26556373221257,307.9683563620432,1494.6879346982455,59.20367502144261,58,1.0,Tool Wear Failure
75,M75,M,304.5413857156088,310.1233596996959,1622.3568882418626,27.77104980444436,96,0.0,No Failure
76,M76,M,300.363732510117,310.85763300066117,1609.6469233810883,40.712537499108926,98,0.0,No Failure
77,M77,H,300.49644117260067,311.38621121452627,1437.4322712503788,27.064923747959043,185,1.0,Heat Dissipation Failure
78,M78,H,299.0812782009195,310.35288311055444,1368.0752805401232,33.04305122802936,102,0.0,No Failure
79,M79,M,298.3003112610704,309.26594432183333,1479.7019362604342,30.818730165834253,185,1.0,Power Failure
80,M80,H,301.6606716330885,308.34481955870257,1419.9961435602354,52.395840064415616,238,0.0,No Failure
81,M81,L,298.2878323481823,310.1722877660927,1493.6475425384644,36.0377032189824,178,0.0,No Failure
82,M82,M,300.1431324744388,307.8557219760288,1623.743813468414,50.68379333694016,211,1.0,Power Failure
83,M83,L,299.0446851064698,304.15729903301076,1454.269834491321,46.04120889588518,1,0.0,No Failure
84,M84,L,300.9579596514928,310.87311960831533,1495.7176618688425,63.036387521047885,242,0.0,No Failure
85,M85,M,300.6673242105739,311.8078696821724,1505.8022734808396,25.20555776860276,40,0.0,No Failure
86,M86,H,302.0750798885158,305.2741351289163,1584.8430882205284,52.59233239786799,210,0.0,No Failure
87,M87,L,298.9799672022905,307.9805385905801,1275.3110666015396,51.464408704007276,122,0.0,No Failure
88,M88,M,299.4602501294133,311.2383085220104,1439.3299705234704,30.266211619729653,228,1.0,Overstrain Failure
89,M89,L,298.04247256843536,314.1149909394234,1521.1283692279474,50.0713333647316,81,0.0,No Failure
90,M90,L,299.1114134798478,310.0415874153508,1620.0078956426862,43.361449630262285,143,0.0,No Failure
91,M91,L,300.7546009860897,308.54399411754173,1450.8097552493796,37.72523740046592,131,0.0,No Failure
92,M92,L,301.5139772332907,309.6342071177903,1312.3447293958125,31.760645130280004,139,0.0,No Failure
93,M93,H,298.15566935164475,312.7497528382964,1561.9711445966136,32.80890548550814,28,0.0,No Failure
94,M94,L,301.73921184021134,308.7080716417509,1436.4637611174371,60.49812095785926,134,1.0,Tool Wear Failure
95,M95,L,302.7112757176099,308.4016159866995,1381.0333340909638,40.006828189574826,13,1.0,Heat Dissipation Failure
96,M96,L,300.8268698064474,309.03451295563593,1437.5654610286776,47.82130001531459,246,0.0,No Failure
97,M97,H,303.75359162511614,308.09334278348257,1481.547464234415,32.09100618332447,11,0.0,No Failure
98,M98,L,298.4524216017929,310.24534063198956,1439.5255335461786,32.201470537783614,98,0.0,No Failure
99,M99,L,297.51069059337715,313.2493569169391,1279.443394290093,50.81984809249942,132,0.0,No Failure
100,M100,H,296.44255950219144,310.6461585462321,1589.7066196887133,26.504237884484677,80,0.0,No Failure
101,M101,H,302.9920886229784,309.49529299574743,1627.4875041278722,35.847862320947286,249,0.0,No Failure
102,M102,H,301.3087313127081,309.4163774621689,1565.1521991339505,40.34027411072232,105,0.0,No Failure
103,M103,L,299.8888306581791,306.8736183826067,1386.2314329575183,41.11372601840053,31,0.0,No Failure
104,M104,H,300.55993725263966,311.7662195542943,1479.8508466052483,38.20906714983844,73,0.0,No Failure
105,M105,H,297.74902190540325,309.8443256059744,1499.3478684770541,43.958197810959234,170,1.0,Random Failure
106,M106,L,304.89150395923366,309.63904017281874,1559.879438956191,46.92855755817811,80,0.0,No Failure
107,M107,H,300.25844236395045,316.3862151356897,1566.8340488718081,47.3463754545933,68,0.0,No Failure
108,M108,L,300.2187895892098,310.59750581673137,1426.5826201221505,30.141961913321733,44,0.0,No Failure
109,M109,M,301.4515332477974,308.4964178998096,1508.199555641356,37.15844902071203,105,0.0,No Failure
110,M110,H,300.96201846347344,309.1472848075889,1545.7280404615242,51.94762861876938,136,1.0,Heat Dissipation Failure
111,M111,M,300.44776804855826,312.2968914183935,1645.5822322146767,48.94647187573872,176,0.0,No Failure
112,M112,L,298.41905108910936,310.2265408210755,1570.4506539824724,26.271405485189362,160,0.0,No Failure
113,M113,H,300.942936714272,307.1234440433653,1578.9056687375519,43.514799003522015,227,0.0,No Failure
114,M114,L,303.76404899295005,311.83845786915043,1508.3826627929361,20.217747506251897,99,1.0,Heat Dissipation Failure
115,M115,M,302.69084009230994,308.66371182892203,1641.0459145203504,40.469349020603694,145,0.0,No Failure
116,M116,L,303.1863732532788,313.7465955524351,1540.9762795959498,58.97767016745977,8,0.0,No Failure
117,M117,H,298.9775686471376,312.16009613142927,1413.8912089826429,30.521072827310135,61,0.0,No Failure
118,M118,H,298.0207903594828,309.1053562086825,1640.336997012519,31.65676954508418,184,0.0,No Failure
119,M119,M,299.7484261598007,312.5620327234702,1569.7903272539027,47.640297815728594,28,0.0,No Failure
120,M120,L,300.1114498245774,310.1357110210548,1455.6955978871517,24.57198484790354,124,0.0,No Failure
121,M121,H,302.1883830369419,311.70554735024444,1452.0507032600756,33.67244970114961,113,0.0,No Failure
122,M122,M,296.6150707405704,310.96946563458897,1529.657554514076,45.96441137581753,205,1.0,Overstrain Failure
123,M123,H,303.0591006389212,308.30728669001826,1546.3184795267584,33.65714152310597,152,0.0,No Failure
124,M124,H,299.683984202842,308.7129003353651,1519.7292265631206,37.640300127890285,142,0.0,No Failure
125,M125,L,299.14623786010515,312.0599216351623,1531.1308673442884,47.44185710315035,133,0.0,No Failure
126,M126,H,297.97579124947964,309.3304493357869,1669.9957374576381,44.21546083536561,119,1.0,Random Failure
127,M127,L,296.6902866562685,309.192703073516,1607.1543152234885,42.66818396295402,169,0.0,No Failure
128,M128,H,301.6463411679238,308.08975484130127,1519.0635591265025,36.60877720729961,156,1.0,Heat Dissipation Failure
129,M129,M,300.14663593437683,310.84719813118693,1594.1310580767483,43.700611152689554,78,0.0,No Failure
130,M130,H,297.4200782005179,314.1250498384863,1396.747609647246,38.762673199002435,92,0.0,No Failure
131,M131,L,297.40984245587276,307.8649341714914,1539.792704994681,44.57805609925785,3,0.0,No Failure
132,M132,L,299.32843060141977,310.04843891334554,1680.930634973311,35.03067974882022,81,0.0,No Failure
133,M133,M,303.3380430505788,312.82444111083083,1478.1954104607626,38.17431025620459,241,1.0,Tool Wear Failure
134,M134,H,299.4808172972728,309.8407172175086,1415.2366071380916,30.10042207447986,184,1.0,Random Failure
135,M135,H,296.9937140937638,310.90474359249947,1434.7911111406938,39.64992389993764,176,0.0,No Failure
136,M136,M,299.5085138718281,307.87521294370623,1391.036696265761,31.88999136371155,171,0.0,No Failure
137,M137,H,299.45455286050463,310.8566141944153,1421.5238091872297,28.85953549838007,230,1.0,Tool Wear Failure
138,M138,H,294.6062267141169,309.6257114699909,1462.9491901409972,42.586611478553884,207,0.0,No Failure
139,M139,L,299.8914102669644,311.9714599913597,1359.4432980821357,42.127397758576606,74,0.0,No Failure
140,M140,H,299.53813093958263,312.3747721031295,1501.5618333949603,47.82873734948573,13,0.0,No Failure
141,M141,H,301.3924127296268,315.17912728403724,1590.2277173786647,35.68874430424901,130,0.0,No Failure
142,M142,M,303.6979121898907,311.15926634642716,1409.224381985308,44.08052846836756,242,0.0,No Failure
143,M143,M,302.2531300590955,310.65159263316434,1651.928392364177,45.50797572273663,113,0.0,No Failure
144,M144,L,299.46222261889034,310.3887686031547,1551.0792088527594,44.44773807831595,61,0.0,No Failure
145,M145,H,297.78694818251665,309.2936674143786,1603.0580585624057,31.74346317197858,105,0.0,No Failure
146,M146,H,305.14671960649974,310.6769676869234,1434.2165446147862,41.49363482271189,63,0.0,No Failure
147,M147,H,300.118436868029,309.40919717972196,1585.4525227066615,43.641402960546614,101,0.0,No Failure
148,M148,L,300.0278585838259,310.3369219525392,1390.8066099604687,40.07178466907942,172,1.0,Overstrain Failure
149,M149,L,299.95174982578,312.63519507121595,1589.0247500836508,19.135223416289154,105,0.0,No Failure
150,M150,M,300.3961695215357,307.98691486944074,1517.183933979353,41.6048962397348,209,0.0,No Failure
151,M151,L,299.7112791761521,312.2797571222581,1555.3251219984784,62.12531039397242,185,1.0,Tool Wear Failure
152,M152,H,298.85267598623955,312.63423013467974,1382.4405394375149,36.39960731243017,19,1.0,Tool Wear Failure
153,M153,H,298.9062821175192,309.76386294601787,1410.4930157723395,32.719229021446786,57,0.0,No Failure
154,M154,L,299.934493459568,305.75629020198284,1559.7228218253385,43.73348559711398,111,0.0,No Failure
155,M155,H,298.91315045773246,308.7843560258111,1405.1651995775799,43.123782104665715,216,1.0,Heat Dissipation Failure
156,M156,H,298.5743084346457,312.5939890931222,1546.3206292099123,51.92735165416414,56,1.0,Overstrain Failure
157,M157,L,300.2128604553838,309.95426387540226,1363.2862193539754,27.421318440911122,229,1.0,Random Failure
158,M158,L,299.4900455651583,308.00139553541015,1584.8174212666668,47.31380252574992,204,1.0,Tool Wear Failure
159,M159,H,303.0079859771654,308.9904501575436,1376.747668523149,45.904220612514635,195,0.0,No Failure
160,M160,H,294.698060383214,311.6812400530091,1555.2299937679522,38.57853463059454,118,0.0,No Failure
161,M161,H,302.18301370384495,311.09346713640275,1562.5630933646,43.3868731792169,205,0.0,No Failure
162,M162,M,302.49217038499523,309.5221358016606,1430.3228181570425,50.29457481598357,96,0.0,No Failure
163,M163,M,295.8532195351837,309.2663511763706,1558.2026567084727,48.72315380028451,91,0.0,No Failure
164,M164,M,299.3146248118393,309.21648370191235,1526.0442263333557,28.569806879262714,51,0.0,No Failure
165,M165,L,299.2571182680084,308.155179631003,1446.115814380726,48.20158186755484,36,0.0,No Failure
166,M166,M,297.1849766105644,313.23075137893886,1399.1445315923793,39.353113949674814,7,1.0,Heat Dissipation Failure
167,M167,L,298.44436662481826,309.3553590615773,1303.7374308327421,40.72874098015515,43,0.0,No Failure
168,M168,L,297.77884830906834,312.434317041651,1534.9650047299695,40.73196991001694,97,0.0,No Failure
169,M169,M,303.5045408868472,313.0426321038449,1343.5197228637944,38.4975701120174,235,0.0,No Failure
170,M170,M,301.87135678629494,311.9966217962959,1509.5344199441308,51.91707497107065,132,0.0,No Failure
171,M171,M,302.54311018998834,309.1367593745639,1473.655178391775,39.16282040150788,117,1.0,Power Failure
172,M172,H,301.4433441280865,310.8074601806732,1567.9142775438195,28.804538716168313,68,0.0,No Failure
173,M173,M,297.74189645756553,309.95160878721816,1469.7954500510136,36.06470144030271,158,1.0,Random Failure
174,M174,H,298.95095946744044,308.1925962785397,1467.055221365291,41.78694716810475,44,0.0,No Failure
175,M175,L,300.97874912245584,310.6487185634432,1573.1870704288297,52.29214784297051,136,0.0,No Failure
176,M176,H,297.5557443822161,307.6419204176804,1533.5058029084119,46.03094684948834,233,0.0,No Failure
177,M177,M,301.42599686034475,312.3753587769231,1531.6155957182777,31.49464721252956,31,0.0,No Failure
178,M178,L,299.5193492036837,309.0707654054032,1546.9267589808526,64.85189916678891,32,1.0,Tool Wear Failure
179,M179,L,299.2503583849008,310.40231931174566,1346.4427876792895,42.6477531097798,125,0.0,No Failure
180,M180,L,301.421919936407,310.5665757430923,1575.6788679986983,52.753907379990146,66,1.0,Tool Wear Failure
181,M181,H,300.88852662297205,309.4821900525918,1561.2468794013603,38.482855664227706,29,0.0,No Failure
182,M182,M,299.2780676683618,311.1733876029505,1398.3316871423503,45.33359244705449,113,1.0,Tool Wear Failure
183,M183,L,302.3186596067285,309.05019268675494,1475.59195263258,48.39468504518405,203,0.0,No Failure
184,M184,L,297.8378733448002,311.74259459491446,1496.069271237237,52.18194711754256,28,1.0,Tool Wear Failure
185,M185,L,301.23187121388855,307.3080406395065,1486.5503215598267,50.57368305378225,130,0.0,No Failure
186,M186,H,301.18620251593677,310.2527591590928,1533.3859966568534,48.721970000729776,217,0.0,No Failure
187,M187,H,299.38090712137205,313.87785799811655,1643.1366781831184,36.849132688058916,184,0.0,No Failure
188,M188,M,300.65226604448424,307.99933735078884,1608.176672767283,34.28253958043938,29,1.0,Tool Wear Failure
189,M189,H,297.4977728472294,308.6445100589503,1368.7780806568594,43.326075103241976,136,0.0,No Failure
190,M190,L,301.8480540384138,311.02781569931784,1562.206999030605,49.33128072341069,153,0.0,No Failure
191,M191,M,299.630195727114,310.3591635638792,1632.8933319535408,37.77279299223393,129,1.0,Tool Wear Failure
192,M192,L,298.9545539589619,310.7012601985471,1538.6808520689203,50.651719657143865,61,0.0,No Failure
193,M193,L,302.0980184516738,310.9783742602953,1609.0980425185967,54.52616745486179,2,0.0,No Failure
194,M194,H,298.59131261891446,311.26944293712353,1701.2270445700765,30.836790809265803,173,0.0,No Failure
195,M195,M,297.1830774072729,312.21939968391246,1602.3709546106982,31.6307929620372,67,0.0,No Failure
196,M196,H,296.8867416529522,310.819637313857,1524.9308595641728,38.59624941094663,24,1.0,Tool Wear Failure
197,M197,H,301.2120199026913,309.5174846907629,1604.5088474084753,43.076126681891964,178,1.0,Power Failure
198,M198,M,297.43914129500746,311.3451474024055,1514.488783309689,34.75432986232949,140,0.0,No Failure
199,M199,L,303.5095883639687,313.7997638697904,1502.3903043284956,53.52202678867144,230,1.0,Random Failure
200,M200,L,295.83614118423253,309.73473250723487,1464.8585764286267,44.24066861518451,43,0.0,No Failure
201,M201,M,303.39291273658006,308.0509413906587,1656.3413358832108,40.39447048240739,162,0.0,No Failure
202,M202,L,300.42203493440525,312.21416133857394,1418.1571334057999,25.640904761314722,54,0.0,No Failure
203,M203,M,299.8065737762592,309.7592376720928,1653.2367724678115,26.841841835724928,214,0.0,No Failure
204,M204,M,298.9101618263821,305.6546609079719,1549.9864123740372,42.810092502818065,136,0.0,No Failure
205,M205,H,300.79827222870415,311.6948433543008,1360.069382519806,18.674043738451637,129,1.0,Tool Wear Failure
206,M206,M,299.9247305951503,308.92934362809217,1536.764929299142,50.12637409644071,188,1.0,Power Failure
207,M207,H,302.20660376403305,309.81893343539167,1289.9973492348377,38.418461556276796,245,0.0,No Failure
208,M208,L,300.2284552973241,310.66396066113805,1562.5508016831036,72.43092969594733,40,0.0,No Failure
209,M209,L,300.3006035229238,310.38099935955813,1588.523148298899,63.079162506161104,171,1.0,Heat Dissipation Failure
210,M210,L,299.27277557557227,311.4189036342781,1440.7644044347946,38.18550930752483,63,1.0,Tool Wear Failure
211,M211,L,299.88610875255785,309.12902725886033,1512.3547695955583,38.93662997468685,30,1.0,Tool Wear Failure
212,M212,H,300.6156035377841,311.02621159635214,1695.4157433750286,49.9558151400203,235,0.0,No Failure
213,M213,L,296.5796632146868,309.48090664483215,1449.4253295738063,57.031726099180375,46,1.0,Power Failure
214,M214,M,297.3036291557886,311.477620961775,1394.1092412943399,23.619709425639833,129,0.0,No Failure
215,M215,M,301.48652818804544,311.2307349680261,1648.1663402462598,22.136245346453133,95,0.0,No Failure
216,M216,M,300.3417308762559,308.1291225959108,1696.2587190530794,33.779651944456184,209,0.0,No Failure
217,M217,H,299.63203332729466,312.1719642323501,1500.3695671847847,45.82737583173864,76,0.0,No Failure
218,M218,L,300.03686786613076,308.9280731097719,1601.1463035408356,44.968735905075974,109,0.0,No Failure
219,M219,L,300.69516341072335,311.6161155965623,1634.1475915530882,50.6977145498385,68,0.0,No Failure
220,M220,L,298.92048063938125,310.73457462680267,1425.7515767461616,28.003024716346918,57,0.0,No Failure
221,M221,H,298.4433905491954,313.67636735359025,1451.469416463213,16.838561370311233,105,1.0,Heat Dissipation Failure
222,M222,M,300.39169051019536,309.5530680352563,1623.0874513154736,48.58014195302145,43,0.0,No Failure
223,M223,M,298.04325444476996,309.3013664077636,1668.5014278708509,31.718037270347654,73,0.0,No Failure
224,M224,L,300.81650551142894,309.96116078822456,1556.2880860174355,19.81512135611362,55,0.0,No Failure
225,M225,M,296.5948327915243,309.3936404343315,1412.0185646497946,41.450637459593814,170,1.0,Random Failure
226,M226,M,302.05831127465126,311.5998838038841,1698.706111169944,47.931756882186775,126,0.0,No Failure
227,M227,H,300.9451949648261,306.76737878312684,1446.9029102188035,38.77942867878723,216,0.0,No Failure
228,M228,H,300.51205946862774,307.8926351617073,1466.4862218828548,35.42151613817511,161,0.0,No Failure
229,M229,H,301.965381967891,307.8643941568416,1534.2337834489622,38.406377678540935,228,1.0,Overstrain Failure
230,M230,H,303.33094888892515,311.90061518394714,1655.4160420714775,36.29417237599217,29,1.0,Random Failure
231,M231,L,302.0287401300363,313.42122674516384,1585.3975976552224,26.51952888059833,70,0.0,No Failure
232,M232,H,296.3182515373367,309.79110156292506,1541.4865500361911,32.853193230095684,197,0.0,No Failure
233,M233,M,297.4408460665286,309.66235655362,1546.3288530118107,45.212799050138145,117,1.0,Tool Wear Failure
234,M234,L,298.7503628446086,310.1401043262264,1504.3514668643465,43.216785413765,54,0.0,No Failure
235,M235,M,300.05218210042165,312.3237566052164,1555.8139514518507,41.6805980596682,66,0.0,No Failure
236,M236,M,301.03531804093825,308.14529373161884,1247.0439922305698,30.048515181466207,140,0.0,No Failure
237,M237,M,298.5485123736931,310.47673796546957,1470.3392540930201,38.184968378643326,2,0.0,No Failure
238,M238,H,300.37353352895417,311.95039525956486,1524.1321934916782,18.22934953557145,25,0.0,No Failure
239,M239,H,298.4892341352934,311.0021883398797,1384.8985916380493,41.784766638853895,56,0.0,No Failure
240,M240,L,298.7769643940161,310.37916323319746,1538.632331781156,54.288577078135674,125,0.0,No Failure
241,M241,L,297.1866778063036,312.0020921851343,1479.5528779013878,25.258678679578942,151,1.0,Tool Wear Failure
242,M242,H,298.1535335077782,304.5935354140015,1675.547569831549,34.14072326682245,52,0.0,No Failure
243,M243,M,297.29663078876735,311.3557506390618,1657.3019725214856,43.2910677871013,197,1.0,Overstrain Failure
244,M244,L,298.04825349404535,308.69184863374517,1453.4194430881837,52.528426344274834,42,0.0,No Failure
245,M245,H,302.1072835932157,306.3387342062871,1484.9162288433304,35.51775383699851,187,0.0,No Failure
246,M246,H,298.1012022223361,311.02240519904996,1492.6052434391606,33.077496707341034,185,0.0,No Failure
247,M247,H,305.2647641296748,312.7473170903259,1454.8340523840377,20.31076857583917,48,1.0,Tool Wear Failure
248,M248,M,300.9866358017618,309.7251029707446,1519.5024984028128,41.03438129308106,41,1.0,Power Failure
249,M249,H,300.36967224738976,311.9057490944059,1424.171793111241,60.42076040143744,203,0.0,No Failure
250,M250,H,298.28328443963755,313.22455651597727,1386.9384665062473,42.77358461964676,240,1.0,Overstrain Failure
251,M251,H,301.400619758818,312.6298289071681,1562.271122390027,39.77721020816287,227,0.0,No Failure
252,M252,H,298.84872434752447,313.27992905874277,1562.9529584221812,43.22082310766986,193,1.0,Random Failure
253,M253,L,300.24401962929073,311.4842549821438,1419.5684240340008,39.88907996051398,10,1.0,Heat Dissipation Failure
254,M254,L,305.1201690765376,310.1508672778032,1589.53554307626,31.869856277398704,102,1.0,Tool Wear Failure
255,M255,H,299.8078802005507,306.79606837620565,1436.842227083467,48.232799156777055,97,0.0,No Failure
256,M256,M,302.29854665257136,309.5078750237401,1525.3165238037982,42.25761523111754,217,0.0,No Failure
257,M257,L,298.5936471497482,308.3135068093676,1582.0344012612456,40.176132519336576,145,0.0,No Failure
258,M258,H,299.93002301900606,314.3418854349956,1496.6387435296288,30.246339727217503,84,0.0,No Failure
259,M259,L,303.541601271271,309.6482283751353,1545.4740912141135,53.03507931934759,99,0.0,No Failure
260,M260,L,298.74606588442447,310.24640961356897,1448.3570356112427,46.6470274533311,103,0.0,No Failure
261,M261,M,303.62489711599386,311.1029707520809,1480.3533416571902,34.47079162632698,179,0.0,No Failure
262,M262,H,301.4155038709109,310.0872048927449,1479.4140569119659,50.01824853681937,45,0.0,No Failure
263,M263,H,298.87506644821144,313.3901020808615,1425.3421653459761,35.02429161614793,43,0.0,No Failure
264,M264,M,301.264815478111,308.7547012765311,1482.322583688422,32.17996507488963,21,0.0,No Failure
265,M265,M,301.94510889925346,310.3892149104745,1345.1381701136254,32.40296882519713,180,1.0,Random Failure
266,M266,H,301.24361992443437,308.5150588286039,1450.8846252857895,22.289314469119088,186,0.0,No Failure
